language group,variety name,new_name,ISO 639-3,# of speakers,mBERT seen,UDP,POS,NER,MT,SDQA,RCMC,NLI,TC,SC,DI
albanian,albanian,albanian/albanian,sqi,7500000,tick,UD_Albanian-TSA,UD_Albanian-TSA,-,-,-,-,-,-,-,-
albanian,gheg,albanian/gheg,aln,4100000,-,UD_Gheg-GPS,UD_Gheg-GPS,-,-,-,-,-,-,-,-
arabic,modern standard arabic,arabic/modern standard,arb,425000000,tick,UD_Arabic-PADT,UD_Arabic-PADT,ar,-,-,arb_Arab,arb_Arab,arb_Arab,-,arabic:msa
arabic,algerian arabic,arabic/algerian,arq,41700000,-,-,-,-,-,arabic--dza,-,-,-,arq_arab,arabic:alg
arabic,bahraini arabic,arabic/bahraini,-,70000,-,-,-,-,-,arabic--bhr,-,-,-,-,-
arabic,egyptian arabic,arabic/egyptian,arz,102000000,-,-,dar-egy,arz,-,arabic--egy,arz_Arab,arz_Arab,arz_Arab,arz_arab,-
arabic,egyptian arabic,arabic/egyptian/cai,arz,-,-,-,-,-,-,-,-,-,-,-,arabic:cai
arabic,egyptian arabic,arabic/egyptian/alx,arz,-,-,-,-,-,-,-,-,-,-,-,arabic:alx
arabic,egyptian arabic,arabic/egyptian/asw,arz,-,-,-,-,-,-,-,-,-,-,-,arabic:asw
arabic,egyptian arabic,arabic/egyptian/kha,arz,-,-,-,-,-,-,-,-,-,-,-,arabic:kha
arabic,gulf arabic,arabic/gulf,afb,11000000,-,-,dar-glf,-,-,-,-,-,-,-,-
arabic,gulf arabic,arabic/gulf/jed,-,-,-,-,-,-,-,-,-,-,-,-,arabic:jed
arabic,gulf arabic,arabic/gulf/doh,-,-,-,-,-,-,-,-,-,-,-,-,arabic:doh
arabic,gulf arabic,arabic/gulf/mus,-,-,-,-,-,-,-,-,-,-,-,-,arabic:mus
arabic,gulf arabic,arabic/gulf/riy,-,-,-,-,-,-,-,-,-,-,-,-,arabic:riy
arabic,jordanian arabic,arabic/jordanian,-,6240000,-,-,-,-,-,arabic--jor,-,-,-,jor_arab,-
arabic,kabyle*,arabic/kabyle,kab,7500000,-,-,-,kab,-,-,-,kab_Latn,kab_Latn,-,-
arabic,levantine arabic,arabic/levantine,apc,48000000,-,-,dar-lev,-,-,-,-,-,-,-,-
arabic,libian arabic,arabic/libian,-,5400000,-,-,-,-,-,-,-,-,-,-,-
arabic,libian arabic,Arabic/libian/tri,-,-,-,-,-,-,-,-,-,-,-,-,arabic:tri
arabic,libian arabic,arabic/libian/ben,-,-,-,-,-,-,-,-,-,-,-,-,arabic:ben
arabic,maghrebi arabic,arabic/maghrebi,-,70000000,-,UD_Maghrebi_Arabic_French-Arabizi,UD_Maghrebi_Arabic_French-Arabizi,-,-,-,-,-,-,-,-
arabic,mesopotamian arabic,arabic/mesopotamian,-,29000000,-,-,-,-,-,-,acm_Arab,acm_Arab,acm_Arab,-,-
arabic,mesopotamian arabic,arabic/mesopotamian/mos,-,-,-,-,-,-,-,-,-,-,-,-,arabic:mos
arabic,mesopotamian arabic,arabic/mesopotamian/bag,-,-,-,-,-,-,-,-,-,-,-,-,arabic:bag
arabic,mesopotamian arabic,arabic/mesopotamian/bas,-,-,-,-,-,-,-,-,-,-,-,-,arabic:bas
arabic,moroccan arabic,arabic/moroccan,ary,39000000,-,-,-,-,-,arabic--mar,ary_Arab,ary_Arab,ary_Arab,ary_arab,-
arabic,moroccan arabic,arabic/moroccan/rab,-,-,-,-,-,-,-,-,-,-,-,-,arabic:rab
arabic,moroccan arabic,arabic/moroccan/fes,-,-,-,-,-,-,-,-,-,-,-,-,arabic:fes
arabic,najdi arabic,arabic/najdi,ars,18000000,-,-,-,-,-,-,ars_Arab,ars_Arab,ars_Arab,-,-
arabic,north levantine arabic,arabic/levantine/north,-,14200000,-,-,-,-,-,-,apc_Arab,apc_Arab,apc_Arab,-,-
arabic,north levantine arabic,arabic/levantine/north/bei,-,-,-,-,-,-,-,-,-,-,-,-,arabic:bei
arabic,north levantine arabic,arabic/levantine/north/dam,-,-,-,-,-,-,-,-,-,-,-,-,arabic:dam
arabic,north levantine arabic,arabic/levantine/north/ale,-,-,-,-,-,-,-,-,-,-,-,-,arabic:ale
arabic,saudi arabian arabic (najdi+hijazi),arabic/saudi arabian,-,30770375,-,-,-,-,-,arabic--sau,-,-,-,sau_arab,-
arabic,south levantine arabic,arabic/levantine/south,ajp,6200000,-,UD_South_Levantine_Arabic-MADAR,UD_South_Levantine_Arabic-MADAR,-,-,-,-,ajp_Arab,ajp_Arab,ar-lb,-
arabic,south levantine arabic,arabic/levantine/south/jer,-,-,-,-,-,-,-,-,-,-,-,-,arabic:jer
arabic,south levantine arabic,arabic/levantine/south/amm,-,-,-,-,-,-,-,-,-,-,-,-,arabic:amm
arabic,south levantine arabic,arabic/levantine/south/sal,-,-,-,-,-,-,-,-,-,-,-,-,arabic:sal
arabic,ta’izzi-adeni arabic,arabic/ta’izzi-adeni,acq,12000000,-,-,-,-,-,-,-,acq_Arab,acq_Arab,-,-
arabic,tunisian arabizi,arabic/tunisian arabizi,-,written,-,-,-,-,-,-,-,-,-,aeb_Latn,-
arabic,tunisian arabic,arabic/tunisian,aeb,12000000,-,-,-,-,-,arabic--tun,-,aeb_Arab,aeb_Arab,aeb_Arab,-
arabic,tunisian arabic,arabic/tunisian/tun,-,-,-,-,-,-,-,-,-,-,-,-,arabic:tun
arabic,tunisian arabic,arabic/tunisian/sfx,-,-,-,-,-,-,-,-,-,-,-,-,arabic:sfx
arabic,yemeni arabic,arabic/yemeni,-,29500000,-,-,-,-,-,-,-,-,-,-,arabic:san
armenian,armenian,armenian/armenian,hy,5300000,tick,UD_Armenian-ArmTDP,UD_Armenian-ArmTDP,-,-,-,-,-,-,-,-
armenian,western armenian,armenian/western,hyw,1600000,-,UD_Western_Armenian-ArmTDP,UD_Western_Armenian-ArmTDP,-,-,-,-,-,-,-,-
azerbaijani,azerbaijani,azerbaijani/north,azj,24000000,tick,-,-,az,-,-,-,azj_Latn,azj_Latn,-,-
azerbaijani,south azerbaijani,azerbaijani/south,azb,14640650,tick,-,-,azb,-,-,-,azb_Arab,azb_Arab,-,-
azerbaijani,turkish azerbaijani~,azerbaijani/turkish,-,-,-,-,-,-,-,-,-,tur_Latn,tur_Latn,-,-
bengali,bengali\textsuperscript{MT},bengali/bengali,ben,273000000,tick,-,-,bn,-,-,-,-,-,-,-
bengali,dhaka bengali,bengali/dhaka,-,22400000,-,-,-,-,-,bengali--dhaka,-,-,-,-,-
bengali,west bengal - bengali,bengali/west bengal,-,78698852,-,-,-,-,-,bengali--ind,-,-,-,-,-
catalan,catalan,catalan/catalan,cat,11500000,tick,-,UD_Catalan-AnCora,-,-,-,-,-,-,-,-
chinese,chinese,chinese/chinese,cmn,1350000000,-,-,-,zh,-,-,-,-,-,-,-
chinese,mainland traditional chinese,chinese/mandarin/mainland,-,1000000000,-,-,-,-,-,-,-,-,-,-,"mandarin_traditional:M,mandarin_simplified:M"
chinese,taiwanese traditional chinese,chinese/mandarin/taiwanese,-,19600000,-,-,-,-,-,-,-,-,-,-,"mandarin_traditional:T, mandarin_simplified:T"
chinese,cantonese (yue chinese),chinese/cantonese,yue,60000000,-,-,-,zh-yue,-,-,-,yue_Hant,yue_Hant,-,-
chinese,hakka chinese,chinese/hakka,hak,47800000,-,-,-,hak,-,-,-,-,-,-,-
chinese,min nan chinese,chinese/min nan,-,48000000,-,-,-,zh-min-nan,-,-,-,-,-,-,-
