language group,variety name,new_name,glottocode,# of speakers,mBERT seen,UDP,POS,NER,SDQA,RCMC,NLI,TC,SC,DI,MT
albanian,albanian,albanian/albanian,alba1267,7500000,tick,UD_Albanian-TSA,UD_Albanian-TSA,-,-,-,-,-,-,-,-
albanian,gheg albanian,albanian/gheg,gheg1238,4100000,-,UD_Gheg-GPS,UD_Gheg-GPS,-,-,-,-,-,-,-,-
anglic,african american vernacular english,english/american/african,afri1276,30000000,-,TwitterAAE,-,-,-,-,-,-,-,-,-
anglic,australian english,english/australian,aust1314,21715910,-,-,-,-,english--aus,-,-,-,-,-,-
anglic,english,english/standard,stan1293,1350000000,tick,UD_English-EWT,UD_English-EWT,en,-,eng_Latn,eng_Latn,eng_Latn,-,english:EN,-
anglic,english (a:scotland),english/scottish,stan1293,5463300,-,-,-,-,english--gbr,-,-,-,-,-,-
anglic,english (a:uk),english/standard british,stan1293,62912000,-,-,-,-,-,-,-,-,-,english:EN-GB,-
anglic,english (o:controlled),english/simple,stan1293,-,-,-,-,simple,-,-,-,-,-,-,-
anglic,indian english (a:north),english/indian/north,indi1255,-,-,-,-,-,english--ind_n,-,-,-,-,-,-
anglic,indian english (a:south),english/indian/south,indi1255,-,-,-,-,-,english--ind_s,-,-,-,-,-,-
anglic,irish english,english/irish,iris1255,4350000,-,-,-,-,english--irl,-,-,-,-,-,-
anglic,jamaican creole english,english/jamaican patois,jama1262,3200000,-,-,-,jam,-,-,-,-,-,-,-
anglic,kenyan english,english/kenyan,keny1281,8100000,-,-,-,-,english--kenya,-,-,-,-,-,-
anglic,new zealand english,english/new zealand,newz1240,4181902,-,-,-,-,english--nzl,-,-,-,-,-,-
anglic,nigerian english,english/nigerian,nige1260,125039680,-,-,-,-,english--nga,-,-,-,-,-,-
anglic,north american english,english/american/standard,nort3314,316107532,-,-,-,-,-,-,-,-,-,english:EN-US,-
anglic,old english (ca. 450-1100),english/old,olde1238,antiquated,-,-,-,ang,-,-,-,-,-,-,-
anglic,philippine english,english/filipino,phil1246,64025890,-,-,-,-,english--phl,-,-,-,-,-,-
anglic,singlish,english/singlish,sing1272,3900000,-,singlish,singlish,-,-,-,-,-,-,-,-
anglic,southeast american english,english/american/southeast,sout3300,79200000,-,-,-,-,english--usa,-,-,-,-,-,-
anglic,southern african english,english/south african,sout3331,16424417,-,-,-,-,english--zaf,-,-,-,-,-,-
arabic,aleppo,Aleppo,alep1241,-,-,-,-,-,-,-,-,-,-,arabic:ale,Aleppo
arabic,algerian arabic,arabic/algerian,alge1239,41700000,-,-,-,-,arabic--dza,-,-,-,arq_arab,arabic:alg,Algiers
arabic,arabian peninsula arabic (a:yemen),arabic/yemeni,arab1393,29500000,-,-,-,-,-,-,-,-,-,arabic:san,Sanaa
arabic,arabic (a:bahrain),arabic/bahraini,-,70000,-,-,-,-,arabic--bhr,-,-,-,-,-,-
arabic,arabic (a:jordan),arabic/jordanian,-,6240000,-,-,-,-,arabic--jor,-,-,-,jor_arab,-,-
arabic,arabic (a:saudi-arabia),arabic/saudi arabian,-,30770375,-,-,-,-,arabic--sau,-,-,-,sau_arab,-,-
arabic,egyptian arabic,arabic/egyptian,egyp1253,102000000,-,-,dar-egy,arz,arabic--egy,arz_Arab,arz_Arab,arz_Arab,arz_arab,-,-
arabic,egyptian arabic (a:alx),arabic/egyptian/alx,egyp1253,154706,-,-,-,-,-,-,-,-,-,arabic:alx,Alexandria
arabic,egyptian arabic (a:asw),arabic/egyptian/asw,egyp1253,1568000,-,-,-,-,-,-,-,-,-,arabic:asw,Aswan
arabic,egyptian arabic (a:cai),arabic/egyptian/cai,egyp1253,9540000,-,-,-,-,-,-,-,-,-,arabic:cai,Cairo
arabic,egyptian arabic (a:kha),arabic/egyptian/kha,egyp1253,639598,-,-,-,-,-,-,-,-,-,arabic:kha,Khartoum
arabic,fez. meknes,arabic/moroccan/fes,fezm1238,-,-,-,-,-,-,-,-,-,-,arabic:fes,Fes
arabic,gilit mesopotamian arabic,arabic/mesopotamian/bag,meso1252,18000000,-,-,-,-,-,-,-,-,-,arabic:bag,Baghdad
arabic,gulf arabic,arabic/gulf,gulf1241,11000000,-,-,dar-glf,-,-,-,-,-,-,-,-
arabic,gulf arabic (a:doh),arabic/gulf/doh,gulf1241,2382000,-,-,-,-,-,-,-,-,-,arabic:doh,Doha
arabic,gulf arabic (a:jed),arabic/gulf/jed,gulf1241,3976000,-,-,-,-,-,-,-,-,-,arabic:jed,Jeddah
arabic,gulf arabic (a:mus),arabic/gulf/mus,gulf1241,1676000,-,-,-,-,-,-,-,-,-,arabic:mus,Muscat
arabic,gulf arabic (a:riy),arabic/gulf/riy,gulf1241,7677000,-,-,-,-,-,-,-,-,-,arabic:riy,Riyadh
arabic,levantine arabic,arabic/levantine,nort3139,48000000,-,-,dar-lev,-,-,-,-,-,-,-,-
arabic,levantine arabic (a:north),arabic/levantine/north,nort3139,14200000,-,-,-,-,-,apc_Arab,apc_Arab,apc_Arab,-,-,-
arabic,levantine arabic (a:north-dam),arabic/levantine/north/dam,nort3139,-,-,-,-,-,-,-,-,-,-,arabic:dam,Damascus
arabic,libyan arabic,arabic/libian,liby1240,5400000,-,-,-,-,-,-,-,-,-,-,-
arabic,libyan arabic (a:ben),arabic/libian/ben,liby1240,-,-,-,-,-,-,-,-,-,-,arabic:ben,Benghazi
arabic,moroccan arabic,arabic/moroccan,moro1292,39000000,-,-,-,-,arabic--mar,ary_Arab,ary_Arab,ary_Arab,ary_arab,-,-
arabic,najdi arabic,arabic/najdi,najd1235,18000000,-,-,-,-,-,ars_Arab,ars_Arab,ars_Arab,-,-,-
arabic,north african arabic,arabic/maghrebi,nort3191,70000000,-,UD_Maghrebi_Arabic_French-Arabizi,UD_Maghrebi_Arabic_French-Arabizi,-,-,-,-,-,-,-,-
arabic,north mesopotamian arabic,arabic/mesopotamian,nort3142,29000000,-,-,-,-,-,acm_Arab,acm_Arab,acm_Arab,-,-,-
arabic,north mesopotamian arabic (a:bas),arabic/mesopotamian/bas,nort3142,-,-,-,-,-,-,-,-,-,-,arabic:bas,Basra
arabic,north mesopotamian arabic (a:mos),arabic/mesopotamian/mos,nort3142,-,-,-,-,-,-,-,-,-,-,arabic:mos,Mosul
arabic,rabat-casablanca arabic,arabic/moroccan/rab,raba1252,-,-,-,-,-,-,-,-,-,-,arabic:rab,Rabat
arabic,sfax,arabic/tunisian/sfx,sfax1238,330440,-,-,-,-,-,-,-,-,-,arabic:sfx,Sfax
arabic,south levantine arabic,arabic/levantine/south,sout3123,6200000,-,UD_South_Levantine_Arabic-MADAR,UD_South_Levantine_Arabic-MADAR,-,-,-,ajp_Arab,ajp_Arab,ar-lb,-,-
arabic,south levantine arabic (a:south-amm),Amman,sout3123,-,-,-,-,-,-,-,-,-,-,arabic:amm,Amman
arabic,south levantine arabic (a:south-jer),arabic/levantine/south/jer,sout3123,-,-,-,-,-,-,-,-,-,-,arabic:jer,Jerusalem
arabic,south levantine arabic (a:south-sal),arabic/levantine/south/sal,sout3123,-,-,-,-,-,-,-,-,-,-,arabic:sal,Salt
arabic,standard arabic,arabic/modern standard,stan1318,425000000,tick,UD_Arabic-PADT,UD_Arabic-PADT,ar,-,arb_Arab,arb_Arab,arb_Arab,arb_arab,arabic:msa,-
arabic,sunni beiruti arabic,arabic/levantine/north/bei,sunn1238,-,-,-,-,-,-,-,-,-,-,arabic:bei,Beirut
arabic,ta'izzi-adeni arabic,arabic/ta’izzi-adeni,taiz1242,12000000,-,-,-,-,-,-,acq_Arab,acq_Arab,-,-,-
arabic,tripolitanian arabic,arabic/libian/tri,trip1239,-,-,-,-,-,-,-,-,-,-,arabic:tri,Tripoli
arabic,tunisian arabic,arabic/tunisian,tuni1259,12000000,-,-,-,-,arabic--tun,-,aeb_Arab,aeb_Arab,aeb_Arab,-,-
arabic,tunisian arabic (a:tun),arabic/tunisian/tun,tuni1259,-,-,-,-,-,-,-,-,-,-,arabic:tun,Tunis
arabic,tunisian arabic (r:casual),arabic/tunisian arabizi,tuni1259,written,-,-,-,-,-,-,-,-,aeb_Latn,-,-
